"FacName","FacStreet","FacCity","FacState","RegistryID","lat","lon","FacSNCFlg","FacQtrsWithNC","FacInspectionCount","Over80CountUs","FacFormalActionCount","FacMapFlg","DFR URL","id","RAW_D_MINOR","RAW_D_INCOME","RAW_D_LESSHS","RAW_D_LING","RAW_D_UNDER5","RAW_D_OVER64","RAW_D_UNEMPLOYED","RAW_D_INDEX","RAW_E_LEAD","RAW_E_DIESEL","RAW_E_CANCER","RAW_E_RESP","RAW_E_TRAFFIC","RAW_E_NPDES","RAW_E_NPL","RAW_E_RMP","RAW_E_TSDF","RAW_E_O3","RAW_E_PM25","RAW_E_UST","S_D_MINOR","S_D_INCOME","S_D_LESSHS","S_D_LING","S_D_UNDER5","S_D_OVER64","S_D_UNEMPLOYED","S_D_INDEX","S_E_LEAD","S_E_DIESEL","S_E_CANCER","S_E_RESP","S_E_TRAFFIC","S_E_NPDES","S_E_NPL","S_E_RMP","S_E_TSDF","S_E_O3","S_E_PM25","S_E_UST","S_D_MINOR_PER","S_D_INCOME_PER","S_D_LESSHS_PER","S_D_LING_PER","S_D_UNDER5_PER","S_D_OVER64_PER","S_D_UNEMPLOYED_PER","S_D_INDEX_PER","S_E_LEAD_PER","S_E_DIESEL_PER","S_E_CANCER_PER","S_E_RESP_PER","S_E_TRAFFIC_PER","S_E_NPDES_PER","S_E_NPL_PER","S_E_RMP_PER","S_E_TSDF_PER","S_E_O3_PER","S_E_PM25_PER","S_E_UST_PER","S_P_LEAD","S_P_DIESEL","S_P_CANCER","S_P_RESP","S_P_TRAFFIC","S_P_NPDES","S_P_NPL","S_P_RMP","S_P_TSDF","S_P_O3","S_P_PM25","S_P_UST","R_D_MINOR","R_D_INCOME","R_D_LESSHS","R_D_LING","R_D_UNDER5","R_D_OVER64","R_D_UNEMPLOYED","R_D_INDEX","R_E_LEAD","R_E_DIESEL","R_E_CANCER","R_E_RESP","R_E_TRAFFIC","R_E_NPDES","R_E_NPL","R_E_RMP","R_E_TSDF","R_E_O3","R_E_PM25","R_E_UST","R_D_MINOR_PER","R_D_INCOME_PER","R_D_LESSHS_PER","R_D_LING_PER","R_D_UNDER5_PER","R_D_OVER64_PER","R_D_UNEMPLOYED_PER","R_D_INDEX_PER","R_E_LEAD_PER","R_E_DIESEL_PER","R_E_CANCER_PER","R_E_RESP_PER","R_E_TRAFFIC_PER","R_E_NPDES_PER","R_E_NPL_PER","R_E_RMP_PER","R_E_TSDF_PER","R_E_O3_PER","R_E_PM25_PER","R_E_UST_PER","R_P_LEAD","R_P_DIESEL","R_P_CANCER","R_P_RESP","R_P_TRAFFIC","R_P_NPDES","R_P_NPL","R_P_RMP","R_P_TSDF","R_P_O3","R_P_PM25","R_P_UST","N_D_MINOR","N_D_INCOME","N_D_LESSHS","N_D_LING","N_D_UNDER5","N_D_OVER64","N_D_UNEMPLOYED","N_D_INDEX","N_E_LEAD","N_E_DIESEL","N_E_CANCER","N_E_RESP","N_E_TRAFFIC","N_E_NPDES","N_E_NPL","N_E_RMP","N_E_TSDF","N_E_O3","N_E_PM25","N_E_UST","N_D_MINOR_PER","N_D_INCOME_PER","N_D_LESSHS_PER","N_D_LING_PER","N_D_UNDER5_PER","N_D_OVER64_PER","N_D_UNEMPLOYED_PER","N_D_INDEX_PER","N_E_LEAD_PER","N_E_DIESEL_PER","N_E_CANCER_PER","N_E_RESP_PER","N_E_TRAFFIC_PER","N_E_NPDES_PER","N_E_NPL_PER","N_E_RMP_PER","N_E_TSDF_PER","N_E_O3_PER","N_E_PM25_PER","N_E_UST_PER","N_P_LEAD","N_P_DIESEL","N_P_CANCER","N_P_RESP","N_P_TRAFFIC","N_P_NPDES","N_P_NPL","N_P_RMP","N_P_TSDF","N_P_O3","N_P_PM25","N_P_UST","stateAbbr","stateName","epaRegion","totalPop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","distance","unit","statlevel","inputAreaMiles","lon","lat","pdfurl"
"15332 OLD STATE ROAD PROPERTIES MIDDLEFIELD WAREHOUSE","15332 OLD STATE RD.","MIDDLEFIELD","OH",110000385761,41.451256,-81.07283,"Y",1,1,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000385761",1,4,29,31,3,4,19,2,16,0.26,0.146,20,0.2,0.55,0.0063,0.033,0.088,1.3,44.4,8.51,1.9,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,24,53,96,84,34,65,29,40,41,10,63,15,2,61,38,7,65,42,10,61,41,55,49,55,71,27,49,66,19,45,47,21,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,18,56,95,77,32,68,28,37,44,21,60,26,2,60,25,8,59,51,27,54,35,49,46,51,70,26,50,62,22,41,42,24,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,9,52,91,62,32,70,24,22,60,25,32,14,1,65,29,12,62,70,47,57,19,36,37,41,55,18,37,45,15,30,30,16,"OH","OHIO",5,6104,0,2,12,0,109,0.3509053,2.5,9035,"blockgroup",19.63,-81.07283,41.451256,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-81.07283,""y"":41.451256}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"25 S MAIN SPCLTY COMPOSITES DIV","25 S MAIN ST","SAND SPRINGS","OK",110000454703,36.136315,-96.108415,"Y",8,32,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000454703",2,22,31,12,0,5,17,3,27,0.35,0.202,30,0.41,240,0.046,0.03,2.5,2.6,44.9,10.5,1.1,34,37,12,2,7,15,5,36,0.23,0.195,29,0.39,220,0.09,0.05,0.57,0.84,45.9,9.66,1.5,28,42,60,56,33,65,38,35,76,56,88,81,81,90,46,97,93,33,82,58,8,25,26,26,12,5,29,3,7,28,26,19,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,20,46,51,37,35,73,40,27,83,49,79,86,57,88,40,92,92,75,93,50,6,22,24,22,17,4,24,3,3,22,22,17,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,39,56,63,46,43,64,40,44,67,39,83,82,51,80,27,93,76,74,89,48,26,34,32,29,29,9,41,4,12,34,30,28,"OK","OKLAHOMA",6,15624,0,6,17,0,527,0.7668722,2.5,9035,"blockgroup",19.63,-96.108415,36.136315,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-96.108415,""y"":36.136315}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"3M CO - GUIN","6675 US HIGHWAY 43","GUIN","AL",110000589159,33.96548,-87.89936,"Y",3,64,0,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000589159",3,20,56,14,0,6,19,10,38,0.21,0.101,30,0.6,2.1,8.3e-08,0.014,0.05,0.59,37.7,8.42,0.15,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,41,82,56,70,55,66,82,64,71,14,55,99,6,NA,15,6,58,35,18,24,72,63,64,65,55,56,63,62,65,64,64,66,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,34,83,62,51,55,67,84,59,76,10,82,99,4,NA,20,4,71,45,62,22,72,58,59,61,52,55,58,57,59,59,59,60,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,36,85,67,45,53,70,86,61,54,12,83,98,3,NA,10,4,46,20,44,25,70,60,62,64,55,58,60,59,60,62,62,64,"AL","ALABAMA",4,2810,0,1,3,0,222,0.4799298,2.5,9035,"blockgroup",19.63,-87.89936,33.96548,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-87.89936,""y"":33.96548}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"A-1 FIBERGLASS","4495 S. GUNPOWDER CIR.","HASTINGS","NE",110000448427,40.56498,-98.3125,"Y",10,19,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000448427",4,45,66,30,20,6,6,4,57,0.25,0.154,20,0.2,340,0.0089,0.69,3.4,0.026,41.8,7.01,0.99,21,28,9,3,7,15,3,25,0.35,0.18,22,0.26,720,0.17,0.13,1.5,0.73,41.9,7.77,4.8,86,95,94,97,47,12,69,92,47,37,75,40,53,74,95,88,10,67,22,46,83,88,88,87,88,95,98,94,80,90,89,85,20,30,9,2,6,16,4,25,0.33,0.221,26,0.33,410,2.9,0.1,0.95,1,44.1,8.26,2.5,87,94,96,98,54,8,59,93,49,38,44,21,70,69,98,95,5,24,5,54,84,87,88,87,92,92,99,97,81,90,89,87,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,61,92,90,92,57,10,44,80,59,27,32,14,60,68,97,96,2,46,12,45,71,69,68,67,77,84,96,93,60,73,70,73,"NE","NEBRASKA",7,425,0,0,6,0,212,0.4368917,2.5,9035,"blockgroup",19.63,-98.3125,40.56498,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-98.3125,""y"":40.56498}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"ACCEL PLASTICS","1560 DOWN RIVER DR","WOODLAND","WA",110000902159,45.913212,-122.751343,"Y",1,0,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000902159",5,13,24,10,2,6,18,5,19,0.19,0.175,30,0.3,400,7.4e-06,0.036,1.1,1.7,34.2,6.97,2,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,19,54,69,51,58,70,63,30,60,27,47,9,60,39,21,82,64,50,18,54,32,18,7,17,14,46,33,2,11,5,6,35,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,24,47,67,56,58,69,62,30,60,34,58,19,64,30,36,81,71,35,17,59,32,19,9,18,13,54,27,3,10,9,10,33,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,25,43,55,53,59,68,61,27,51,32,83,47,63,16,31,79,67,9,12,59,30,12,5,9,11,51,21,2,8,11,10,27,"WA","WASHINGTON",10,8305,0,3,7,0,212,0.3779119,2.5,9035,"blockgroup",19.63,-122.751343,45.913212,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.751343,""y"":45.913212}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"ACHILLES USA","1407 80TH ST SW","EVERETT","WA",110000489891,47.926694,-122.253842,"Y",12,22,0,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000489891",6,41,31,13,8,6,11,5,36,0.12,0.476,39,0.49,810,0.00013,0.026,0.43,5.2,31.6,7.52,11,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,72,67,77,84,58,38,58,73,49,74,86,66,78,69,14,61,88,21,37,83,49,79,77,76,87,26,74,59,88,75,75,90,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,77,60,77,87,58,36,56,74,49,76,89,71,81,54,29,60,92,14,30,88,50,81,78,77,89,39,76,58,91,76,77,92,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,59,55,64,80,59,36,56,58,43,85,96,93,79,33,23,56,88,4,21,90,41,65,62,62,79,43,60,48,79,60,61,85,"WA","WASHINGTON",10,74753,0,12,58,0,603,0.9438388,2.5,9035,"blockgroup",19.63,-122.253842,47.926694,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.253842,""y"":47.926694}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"ADIENT US LLC DBA ADIENT US LLC PULASKI","1890 MINES RD.","PULASKI","TN",110000375237,35.22742,-87.069935,"Y",3,24,1,1,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000375237",7,26,43,17,1,8,15,4,35,0.16,0.112,30,0.4,91,0.0059,0.037,1,0.63,40.1,7.67,0.95,26,35,13,2,6,16,5,31,0.19,0.231,32,0.4,290,0.035,0.07,0.53,0.6,42.6,8.2,1.3,66,67,70,70,74,45,53,69,61,17,80,76,48,83,62,83,73,7,21,62,64,68,68,68,71,28,65,71,59,68,68,77,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,43,66,70,55,74,48,49,54,70,15,82,78,42,77,50,81,72,58,28,47,44,53,52,52,58,25,50,55,46,52,52,64,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,44,72,73,48,71,51,51,57,48,16,83,81,32,65,32,76,48,32,25,45,50,56,55,55,59,33,54,58,51,56,56,67,"TN","TENNESSEE",4,2658,0,1,6,0,135,0.4629175,2.5,9035,"blockgroup",19.63,-87.069935,35.22742,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-87.069935,""y"":35.22742}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"ADVANCED DRAINAGE SYSTEMS INC","627 S 37TH ST","WASHOUGAL","WA",110005323113,45.568993,-122.32756,"Y",12,2,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110005323113",8,15,20,6,1,6,15,4,18,0.19,0.185,32,0.5,230,0.034,0.18,1.6,1.2,37.8,7.37,2.5,31,26,9,4,6,15,5,29,0.22,0.336,35,0.52,710,0.021,0.19,0.65,2.2,35.3,7.86,6.1,24,45,50,46,55,57,46,26,61,28,58,72,48,98,72,89,56,77,28,57,25,34,22,17,31,0,11,2,20,15,19,22,28,28,9,3,6,16,5,28,0.22,0.312,33,0.47,600,0.53,0.13,0.66,1.7,37.2,8.17,4.5,29,38,47,51,55,55,44,26,61,35,67,76,52,94,81,88,64,65,24,62,25,32,22,18,30,3,8,4,18,19,23,21,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,28,35,37,48,56,54,45,25,53,35,87,95,51,78,83,87,60,20,18,63,25,23,14,9,24,10,7,3,14,21,21,15,"WA","WASHINGTON",10,14645,0,2,13,0,303,0.4249384,2.5,9035,"blockgroup",19.63,-122.32756,45.568993,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-122.32756,""y"":45.568993}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"AGI POLYMATRIX LLC","1300 WEST PARK ROAD","ELIZABETHTOWN","KY",110009573782,37.68633,-85.89469,"Y",11,3,0,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110009573782",9,24,36,11,1,7,15,6,30,0.2,0.288,36,0.38,490,0.0032,0.03,0.94,2.7,42.9,8.89,2.1,15,37,14,1,6,16,6,26,0.23,0.226,29,0.36,380,1.3,0.039,0.67,0.77,42.4,8.9,1.1,78,51,45,77,68,44,61,68,59,71,99,88,79,63,56,78,92,58,44,80,65,43,37,49,32,25,42,20,6,50,50,30,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,39,55,52,58,71,48,60,45,75,64,92,70,77,72,44,79,95,86,77,63,35,34,30,38,21,14,35,14,4,35,36,30,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,41,64,58,51,69,52,63,50,53,60,92,76,68,60,27,74,76,56,58,60,44,36,28,37,28,21,43,17,11,40,39,32,"KY","KENTUCKY",4,16178,0,8,14,0,535,0.5259299,2.5,9035,"blockgroup",19.63,-85.89469,37.68633,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-85.89469,""y"":37.68633}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
"AKZO NOBEL SPECIALTY COATINGS","1872 HWY 9 BYPASS","LANCASTER","SC",110000355179,34.730493,-80.822608,"Y",1,25,1,0,"Y","https://echo.epa.gov/detailed-facility-report?fid=110000355179",10,36,42,18,3,6,19,11,39,0.23,0.172,30,0.4,26,0.00039,0.074,0.7,0.84,40.7,7.77,3.5,36,35,12,1,6,17,6,36,0.14,0.211,31,0.42,52,0.47,0.092,0.45,1,37.3,7.74,2.6,58,65,73,82,50,66,84,62,81,46,85,75,50,47,63,81,57,84,44,77,81,58,59,59,56,40,62,63,63,59,59,76,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,54,64,73,69,50,67,86,60,79,35,82,78,20,54,71,73,77,62,33,73,80,57,58,58,54,37,61,60,63,58,57,70,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,54,71,75,61,48,70,87,62,57,32,83,81,15,41,56,67,53,36,27,70,75,59,60,60,57,44,62,62,62,61,61,71,"SC","SOUTH CAROLINA",4,6708,0,1,11,0,282,0.5569267,2.5,9035,"blockgroup",19.63,-80.822608,34.730493,"https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry={""spatialReference"":{""wkid"":4326},""x"":-80.822608,""y"":34.730493}&distance=2.5&unit=9035&areatype=&areaid=&f=report"
