"oldnames","newnames","gdblongname"
"inputAreaMiles","inputAreaMiles","inputAreaMiles"
"NUM_NPL","NUM_NPL","Raw value for Number of NPL Superfund sites"
"NUM_TSDF","NUM_TSDF","Raw value for Number of TSDF facilities"
"statLayerCount","statLayerCount","statLayerCount"
"statLayerZeroPopCount","statLayerZeroPopCount","statLayerZeroPopCount"
"statlevel","statlevel","statlevel"
"timeSeconds","timeSeconds","timeSeconds"
"unit","unit","Units on radius (Miles, etc)"
"weightLayerCount","weightLayerCount","weightLayerCount"
"N_P_TRAFFIC","pctile.EJ.DISPARITY.traffic.score.eo","National percentile for EJ Index for Traffic Proximity and Volume"
"R_P_TRAFFIC","region.pctile.EJ.DISPARITY.traffic.score.eo","Regional percentile for EJ Index for Traffic Proximity and Volume"
"S_P_TRAFFIC","state.pctile.EJ.DISPARITY.traffic.score.eo","State percentile for EJ Index for Traffic Proximity and Volume"
"n","us.med.EJ.DISPARITY.traffic.score.eo","National median for EJ Index for Traffic Proximity and Volume (daily traffic count/distance to road)"
"N_P_LEAD","pctile.EJ.DISPARITY.pctpre1960.eo","National percentile for EJ Index for Lead Paint Indicator"
"R_P_LEAD","region.pctile.EJ.DISPARITY.pctpre1960.eo","Regional percentile for EJ Index for Lead Paint Indicator"
"S_P_LEAD","state.pctile.EJ.DISPARITY.pctpre1960.eo","State percentile for EJ Index for Lead Paint Indicator"
"n","us.med.EJ.DISPARITY.pctpre1960.eo","National median for EJ Index for Lead Paint Indicator (% pre-1960s housing)"
"N_P_PM25","pctile.EJ.DISPARITY.pm.eo","National percentile for EJ Index for Particulate Matter (PM 2.5)"
"R_P_PM25","region.pctile.EJ.DISPARITY.pm.eo","Regional percentile for EJ Index for Particulate Matter (PM 2.5)"
"S_P_PM25","state.pctile.EJ.DISPARITY.pm.eo","State percentile for EJ Index for Particulate Matter (PM 2.5)"
"n","us.med.EJ.DISPARITY.pm.eo","National median for EJ Index for Particulate Matter (PM 2.5 in ug/m3)"
"N_P_O3","pctile.EJ.DISPARITY.o3.eo","National percentile for EJ Index for Ozone"
"R_P_O3","region.pctile.EJ.DISPARITY.o3.eo","Regional percentile for EJ Index for Ozone"
"S_P_O3","state.pctile.EJ.DISPARITY.o3.eo","State percentile for EJ Index for Ozone"
"n","us.med.EJ.DISPARITY.o3.eo","National median for EJ Index for Ozone (ppb)"
"N_P_CANCER","pctile.EJ.DISPARITY.cancer.eo","National percentile for EJ Index for NATA Air Toxics Cancer Risk"
"R_P_CANCER","region.pctile.EJ.DISPARITY.cancer.eo","Regional percentile for EJ Index for NATA Air Toxics Cancer Risk"
"S_P_CANCER","state.pctile.EJ.DISPARITY.cancer.eo","State percentile for EJ Index for NATA Air Toxics Cancer Risk"
"n","us.med.EJ.DISPARITY.cancer.eo","National median for EJ Index for NATA Air Toxics Cancer Risk (risk per MM)"
"N_P_DIESEL","pctile.EJ.DISPARITY.dpm.eo","National percentile for EJ Index for NATA Diesel PM"
"R_P_DIESEL","region.pctile.EJ.DISPARITY.dpm.eo","Regional percentile for EJ Index for NATA Diesel PM"
"S_P_DIESEL","state.pctile.EJ.DISPARITY.dpm.eo","State percentile for EJ Index for NATA Diesel PM"
"n","us.med.EJ.DISPARITY.dpm.eo","National median for EJ Index for NATA Diesel PM (ug/m3)"
"N_P_RESP","pctile.EJ.DISPARITY.resp.eo","National percentile for EJ Index for NATA Respiratory Hazard Index"
"R_P_RESP","region.pctile.EJ.DISPARITY.resp.eo","Regional percentile for EJ Index for NATA Respiratory Hazard Index"
"S_P_RESP","state.pctile.EJ.DISPARITY.resp.eo","State percentile for EJ Index for NATA Respiratory Hazard Index"
"n","us.med.EJ.DISPARITY.resp.eo","National median for EJ Index for NATA Respiratory Hazard Index"
"N_P_TSDF","pctile.EJ.DISPARITY.proximity.tsdf.eo","National percentile for EJ Index for Hazardous Waste Proximity"
"R_P_TSDF","region.pctile.EJ.DISPARITY.proximity.tsdf.eo","Regional percentile for EJ Index for Hazardous Waste Proximity"
"S_P_TSDF","state.pctile.EJ.DISPARITY.proximity.tsdf.eo","State percentile for EJ Index for Hazardous Waste Proximity"
"n","us.med.EJ.DISPARITY.proximity.tsdf.eo","National median for EJ Index for TSDF Proximity (facility count/km distance)"
"N_P_RMP","pctile.EJ.DISPARITY.proximity.rmp.eo","National percentile for EJ Index for RMP Proximity"
"R_P_RMP","region.pctile.EJ.DISPARITY.proximity.rmp.eo","Regional percentile for EJ Index for RMP Proximity"
"S_P_RMP","state.pctile.EJ.DISPARITY.proximity.rmp.eo","State percentile for EJ Index for RMP Proximity"
"n","us.med.EJ.DISPARITY.proximity.npl.eo","National median for EJ Index for RMP Proximity (facility count/km distance)"
"N_P_NPL","pctile.EJ.DISPARITY.proximity.npl.eo","National percentile for EJ Index for Superfund Proximity"
"R_P_NPL","region.pctile.EJ.DISPARITY.proximity.npl.eo","Regional percentile for EJ Index for Superfund Proximity"
"S_P_NPL","state.pctile.EJ.DISPARITY.proximity.npl.eo","State percentile for EJ Index for Superfund Proximity"
"n","us.med.EJ.DISPARITY.proximity.rmp.eo","National median for EJ Index for NPL Proximity (site count/km distance)"
"N_P_NPDES","pctile.EJ.DISPARITY.proximity.npdes.eo","National percentile for EJ Index for Wastewater Discharge Indicator"
