"id","EJScreenPDF","EJScreenMAP","siteid","sitename","lon","lat","pctmin","pctlowinc","pctlths","pctlingiso","pctunder5","pctover64","pctunemployed","VSI.eo","pctpre1960","dpm","cancer","resp","traffic.score","proximity.npdes","proximity.npl","proximity.rmp","proximity.tsdf","o3","pm","ust","state.avg.pctmin","state.avg.pctlowinc","state.avg.pctlths","state.avg.pctlingiso","state.avg.pctunder5","state.avg.pctover64","state.avg.unemployed","state.avg.VSI.eo","state.avg.pctpre1960","state.avg.dpm","state.avg.cancer","state.avg.resp","state.avg.traffic.score","state.avg.proximity.npdes","state.avg.proximity.npl","state.avg.proximity.rmp","state.avg.proximity.tsdf","state.avg.o3","state.avg.pm","state.avg.ust","state.pctile.pctmin","state.pctile.pctlowinc","state.pctile.pctlths","state.pctile.pctlingiso","state.pctile.pctunder5","state.pctile.pctover64","state.pctile.unemployed","state.pctile.VSI.eo","state.pctile.pctpre1960","state.pctile.dpm","state.pctile.cancer","state.pctile.resp","state.pctile.traffic.score","state.pctile.proximity.npdes","state.pctile.proximity.npl","state.pctile.proximity.rmp","state.pctile.proximity.tsdf","state.pctile.o3","state.pctile.pm","state.pctile.ust","state.pctile.EJ.DISPARITY.pctpre1960.eo","state.pctile.EJ.DISPARITY.dpm.eo","state.pctile.EJ.DISPARITY.cancer.eo","state.pctile.EJ.DISPARITY.resp.eo","state.pctile.EJ.DISPARITY.traffic.score.eo","state.pctile.EJ.DISPARITY.proximity.npdes.eo","state.pctile.EJ.DISPARITY.proximity.npl.eo","state.pctile.EJ.DISPARITY.proximity.rmp.eo","state.pctile.EJ.DISPARITY.proximity.tsdf.eo","state.pctile.EJ.DISPARITY.o3.eo","state.pctile.EJ.DISPARITY.pm.eo","state.pctile.ust","region.avg.pctmin","region.avg.pctlowinc","region.avg.pctlths","region.avg.pctlingiso","region.avg.pctunder5","region.avg.pctover64","region.avg.unemployed","region.avg.VSI.eo","region.avg.pctpre1960","region.avg.dpm","region.avg.cancer","region.avg.resp","region.avg.traffic.score","region.avg.proximity.npdes","region.avg.proximity.npl","region.avg.proximity.rmp","region.avg.proximity.tsdf","region.avg.o3","region.avg.pm","region.avg.ust","region.pctile.pctmin","region.pctile.pctlowinc","region.pctile.pctlths","region.pctile.pctlingiso","region.pctile.pctunder5","region.pctile.pctover64","region.pctile.unemployed","region.pctile.VSI.eo","region.pctile.pctpre1960","region.pctile.dpm","region.pctile.cancer","region.pctile.resp","region.pctile.traffic.score","region.pctile.proximity.npdes","region.pctile.proximity.npl","region.pctile.proximity.rmp","region.pctile.proximity.tsdf","region.pctile.o3","region.pctile.pm","region.pctile.ust","region.pctile.EJ.DISPARITY.pctpre1960.eo","region.pctile.EJ.DISPARITY.dpm.eo","region.pctile.EJ.DISPARITY.cancer.eo","region.pctile.EJ.DISPARITY.resp.eo","region.pctile.EJ.DISPARITY.traffic.score.eo","region.pctile.EJ.DISPARITY.proximity.npdes.eo","region.pctile.EJ.DISPARITY.proximity.npl.eo","region.pctile.EJ.DISPARITY.proximity.rmp.eo","region.pctile.EJ.DISPARITY.proximity.tsdf.eo","region.pctile.EJ.DISPARITY.o3.eo","region.pctile.EJ.DISPARITY.pm.eo","region.pctile.ust","us.avg.pctmin","us.avg.pctlowinc","us.avg.pctlths","us.avg.pctlingiso","us.avg.pctunder5","us.avg.pctover64","us.avg.unemployed","us.avg.VSI.eo","us.avg.pctpre1960","us.avg.dpm","us.avg.cancer","us.avg.resp","us.avg.traffic.score","us.avg.proximity.npdes","us.avg.proximity.npl","us.avg.proximity.rmp","us.avg.proximity.tsdf","us.avg.o3","us.avg.pm","us.avg.ust","pctile.pctmin","pctile.pctlowinc","pctile.pctlths","pctile.pctlingiso","pctile.pctunder5","pctile.pctover64","pctile.pctunemployed","pctile.VSI.eo","pctile.pctpre1960","pctile.dpm","pctile.cancer","pctile.resp","pctile.traffic.score","pctile.proximity.npdes","pctile.proximity.npl","pctile.proximity.rmp","pctile.proximity.tsdf","pctile.o3","pctile.pm","pctile.ust","pctile.EJ.DISPARITY.pctpre1960.eo","pctile.EJ.DISPARITY.dpm.eo","pctile.EJ.DISPARITY.cancer.eo","pctile.EJ.DISPARITY.resp.eo","pctile.EJ.DISPARITY.traffic.score.eo","pctile.EJ.DISPARITY.proximity.npdes.eo","pctile.EJ.DISPARITY.proximity.npl.eo","pctile.EJ.DISPARITY.proximity.rmp.eo","pctile.EJ.DISPARITY.proximity.tsdf.eo","pctile.EJ.DISPARITY.o3.eo","pctile.EJ.DISPARITY.pm.eo","pctile.ust","ST","statename","REGION","pop","NUM_NPL","NUM_TSDF","statLayerCount","statLayerZeroPopCount","weightLayerCount","timeSeconds","radius.miles","unit","statlevel","inputAreaMiles","lon.1","lat.1"
1,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-89.9926871,%22y%22:29.8513169%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 1</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=29.8513169,-89.9926871"", target=""_blank"">EJScreen Map 1</a>",1,"site 1",-89.9926871,29.8513169,15,24,6,1,4,19,1,19,0.097,0.402,30,0.3,610,0.0076,0.066,0.25,2.6,38.4,8.37,1.7,41,39,15,2,7,15,6,40,0.2,0.298,41,0.45,560,0.42,0.086,0.91,1.4,37.2,9.22,2,23,26,24,65,34,72,18,19,44,74,46,5,77,70,60,43,81,75,3,65,25,11,26,28,6,14,17,23,5,20,23,9,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,11,33,29,39,28,77,17,13,58,93,78,37,80,72,67,40,92,32,13,60,13,6,17,21,4,9,10,18,1,18,19,8,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,28,42,37,47,36,69,16,28,39,78,83,47,73,67,52,44,76,23,43,56,35,11,21,27,8,17,23,26,7,28,25,16,"LA","LOUISIANA",6,4899,0,1,6,0,135,0.3249992,1,9035,"blockgroup",3.14,-89.9926871,29.8513169
2,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-71.8994587,%22y%22:41.3347652%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 2</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=41.3347652,-71.8994587"", target=""_blank"">EJScreen Map 2</a>",2,"site 2",-71.8994587,41.3347652,4,16,4,0,1,33,5,10,0.71,0.139,20,0.2,23,1.8e-05,0.06,0.091,0.2,41.8,6.14,4.4,33,23,9,5,5,17,6,28,0.44,0.201,23,0.28,600,0.047,0.14,0.56,3,42.8,7.39,3.1,5,48,31,39,11,95,54,19,84,19,67,21,14,21,26,13,8,32,1,75,8,44,41,47,53,50,46,57,62,38,44,9,25,23,9,5,5,17,5,24,0.44,0.227,23,0.28,1300,0.4,0.15,0.6,3.8,39.8,6.68,3,14,42,32,48,11,95,63,21,79,29,67,31,11,21,29,19,17,75,27,77,12,46,44,50,64,56,48,57,62,37,43,11,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,7,26,23,45,8,95,59,7,88,23,32,14,14,21,49,13,30,45,4,75,2,33,31,36,41,43,24,41,34,24,32,8,"CT","CONNECTICUT",1,1535,0,0,4,1,89,0.2690005,1,9035,"blockgroup",3.14,-71.8994587,41.3347652
3,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-76.9823903,%22y%22:39.0081107%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 3</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=39.0081107,-76.9823903"", target=""_blank"">EJScreen Map 3</a>",3,"site 3",-76.9823903,39.0081107,92,42,32,24,10,8,7,67,0.38,0.43,30,0.4,1700,1.8e-05,0.11,0.16,5.2,44.1,8.55,1.2,49,22,10,3,6,15,5,35,0.28,0.317,30,0.37,720,0.48,0.13,0.67,3.4,44.1,8.18,1.8,85,87,96,98,85,24,73,92,71,82,90,98,88,46,65,39,76,50,68,58,92,95,92,93,96,73,91,78,93,93,93,83,33,27,10,3,6,16,5,30,0.35,0.267,30,0.34,680,33,0.15,0.63,1.9,41.9,8.2,2.7,93,79,96,98,87,18,72,93,61,87,85,95,90,26,63,35,90,84,62,54,93,96,94,95,97,78,92,83,97,95,95,86,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,90,71,92,94,85,21,70,87,69,81,84,81,90,21,70,30,88,68,48,49,92,91,89,89,95,68,89,74,94,90,88,78,"MD","MARYLAND",3,37498,0,1,28,0,215,0.5939984,1,9035,"blockgroup",3.14,-76.9823903,39.0081107
4,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-81.2644389,%22y%22:40.7978965%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 4</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=40.7978965,-81.2644389"", target=""_blank"">EJScreen Map 4</a>",4,"site 4",-81.2644389,40.7978965,1,28,14,0,2,26,1,15,0.54,0.208,20,0.3,190,8.6e-05,0.061,0.19,0.28,45.1,9.08,0.44,21,31,10,1,6,17,5,26,0.4,0.273,24,0.3,370,0.33,0.095,0.72,1.5,44.5,9.13,2.6,9,51,77,69,16,88,17,33,69,32,63,89,56,21,59,34,34,66,44,36,12,42,44,37,25,58,33,49,45,39,40,42,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,5,55,77,60,14,89,15,31,71,40,60,79,44,28,51,32,31,72,51,34,10,36,41,33,33,51,36,47,45,35,36,42,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,2,50,67,45,15,89,13,18,79,41,32,47,46,30,49,35,36,76,63,34,6,27,34,29,24,39,26,32,32,26,25,31,"OH","OHIO",5,704,0,0,2,0,10,0.3139959,1,9035,"blockgroup",3.14,-81.2644389,40.7978965
5,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-85.0530838,%22y%22:41.1424648%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 5</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=41.1424648,-85.0530838"", target=""_blank"">EJScreen Map 5</a>",5,"site 5",-85.0530838,41.1424648,13,21,4,0,9,15,4,17,0.074,0.285,20,0.3,220,0.00098,0.14,0.14,0.74,44.5,8.88,2.5,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,51,34,23,66,79,54,51,38,20,56,67,88,48,42,71,17,45,76,32,66,56,18,25,21,23,37,13,46,25,21,23,10,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,47,40,31,60,81,50,50,39,18,60,60,79,48,44,79,21,45,54,43,59,54,13,23,16,20,35,10,42,23,17,18,13,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,26,37,26,45,79,54,45,24,34,59,32,47,50,49,76,25,50,71,57,63,31,10,21,16,15,25,7,28,16,12,12,8,"IN","INDIANA",5,8136,0,0,7,0,72,0.3489875,1,9035,"blockgroup",3.14,-85.0530838,41.1424648
6,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-85.1077758,%22y%22:41.1265536%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 6</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=41.1265536,-85.1077758"", target=""_blank"">EJScreen Map 6</a>",6,"site 6",-85.1077758,41.1265536,30,41,9,2,5,14,3,37,0.096,0.395,21,0.3,320,0.0075,0.15,0.81,2.1,44.3,8.91,13,21,32,11,2,6,15,5,26,0.34,0.28,23,0.3,540,0.34,0.17,0.82,1.6,44.1,9.2,2.8,77,70,50,79,44,45,40,78,25,82,70,88,57,61,73,67,72,66,36,95,78,73,75,74,51,81,74,72,60,74,74,87,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,69,74,60,74,48,41,39,75,22,81,63,79,57,62,81,67,71,50,44,88,76,69,73,72,48,81,70,68,56,72,72,83,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,47,70,50,59,47,46,34,60,38,77,37,47,58,67,78,71,71,70,58,92,66,52,57,56,36,71,53,50,42,57,57,76,"IN","INDIANA",5,9381,0,1,11,0,126,0.4380039,1,9035,"blockgroup",3.14,-85.1077758,41.1265536
7,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-83.9250244,%22y%22:42.0261571%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 7</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=42.0261571,-83.9250244"", target=""_blank"">EJScreen Map 7</a>",7,"site 7",-83.9250244,42.0261571,3,11,2,0,3,24,3,7,0.19,0.129,20,0.2,28,0.0026,0.02,0.33,0.12,45.4,8.65,0.71,25,32,9,2,6,17,6,28,0.37,0.209,23,0.25,830,0.41,0.15,0.53,1.1,43.8,8.75,7.3,11,15,12,65,25,84,35,5,34,28,70,50,13,64,5,62,23,95,44,34,24,27,18,22,54,22,50,15,43,15,16,35,26,29,10,2,6,16,5,28,0.37,0.279,24,0.3,610,9,0.13,0.83,1.8,43.5,8.96,4.8,14,18,14,59,23,85,42,6,35,16,60,26,15,53,10,47,17,80,32,39,27,36,23,30,52,28,48,24,50,17,19,31,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,7,16,12,45,24,85,37,3,52,20,32,14,16,58,17,50,19,78,51,40,15,26,21,27,39,20,35,15,37,12,13,21,"MI","MICHIGAN",5,1427,0,0,2,0,27,0.2499932,1,9035,"blockgroup",3.14,-83.9250244,42.0261571
8,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-107.3481569,%22y%22:34.9354078%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 8</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=34.9354078,-107.3481569"", target=""_blank"">EJScreen Map 8</a>",8,"site 8",-107.3481569,34.9354078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,41,14,5,6,17,7,52,0.18,0.208,20,0.24,480,4.6,0.13,0.25,0.82,56.2,5.58,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,36,15,6,7,13,5,44,0.16,0.219,32,0.37,470,0.5,0.08,0.83,0.8,41.1,9.32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NM","NEW MEXICO",6,0,0,0,1,0,2,0.1229941,1,9035,"blockgroup",3.14,-107.3481569,34.9354078
9,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-86.8977027,%22y%22:33.3313745%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 9</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=33.3313745,-86.8977027"", target=""_blank"">EJScreen Map 9</a>",9,"site 9",-86.8977027,33.3313745,34,15,7,1,4,10,3,25,0.03,0.275,40,0.5,280,0.00062,0.038,0.2,1.3,41.2,9.74,0.91,34,37,14,1,6,17,6,36,0.18,0.216,34,0.47,230,0.42,0.054,0.41,0.83,39.1,8.9,1.7,60,15,27,76,28,19,38,36,21,74,99,91,79,51,58,56,78,69,90,59,44,23,30,32,10,26,29,27,14,34,32,23,39,35,13,3,6,17,6,37,0.15,0.261,31,0.4,430,0.45,0.083,0.6,0.62,37.9,8.18,3.5,52,17,32,57,29,25,37,34,33,61,98,96,65,58,50,45,85,67,97,47,36,26,26,27,14,22,29,32,8,32,30,27,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,52,26,39,50,27,30,40,40,22,57,97,95,55,45,33,38,62,39,79,44,45,28,24,24,20,30,38,35,18,36,32,29,"AL","ALABAMA",4,5330,0,0,8,0,105,0.3380027,1,9035,"blockgroup",3.14,-86.8977027,33.3313745
10,"<a href=""https://ejscreen.epa.gov/mapper/EJSCREEN_report.aspx?namestr=&geometry=%7B%22spatialReference%22:%7B%22wkid%22:4326%7D,%22x%22:-122.0279002,%22y%22:37.6191791%7D&distance=1&unit=9035&areatype=&areaid=&f=report"", target=""_blank"">EJScreen Report 10</a>","<a href=""https://ejscreen.epa.gov/mapper/index.html?wherestr=37.6191791,-122.0279002"", target=""_blank"">EJScreen Map 10</a>",10,"site 10",-122.0279002,37.6191791,80,18,15,6,7,10,4,49,0.53,0.252,30,0.4,700,0.077,0.047,3,4.8,34.5,12.5,4.5,63,31,17,9,6,14,6,47,0.29,0.33,31,0.43,1300,74,0.18,1.1,5.2,48.1,11.7,3.7,65,33,55,48,62,37,33,54,77,36,76,66,64,57,28,91,58,13,60,72,69,49,51,50,67,68,47,77,58,47,52,65,60,31,16,8,6,15,6,46,0.23,0.33,30,0.41,1300,59,0.15,1,4.4,49.6,10.8,3.3,68,32,58,53,62,37,34,56,81,37,75,69,66,58,33,92,66,10,68,75,74,53,55,55,68,71,53,80,64,49,56,68,40,31,12,5,6,16,5,36,0.28,0.295,29,0.36,710,12,0.13,0.75,2.2,42.6,8.74,3.9,83,31,69,74,65,28,42,72,79,52,83,81,76,83,40,95,87,10,95,76,85,73,73,73,80,91,72,90,86,71,77,79,"CA","CALIFORNIA",9,12904,0,0,14,0,158,0.3180046,1,9035,"blockgroup",3.14,-122.0279002,37.6191791
